epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,224.689,1.98447,0.5514,0.9479,1.29963,0.000237924,0.000237924,0.000237924
2,423.488,1.50936,0.6553,0.9682,1.03157,0.000428807,0.000428807,0.000428807
3,623.296,1.3754,0.6917,0.9742,0.94579,0.000572567,0.000572567,0.000572567
4,815.165,1.27305,0.7246,0.9817,0.84207,0.000501942,0.000501942,0.000501942
5,1006.51,1.18229,0.7446,0.9843,0.7764,0.000431256,0.000431256,0.000431256
6,1199.12,1.10872,0.7547,0.9852,0.74274,0.00036057,0.00036057,0.00036057
7,1395.79,1.05405,0.766,0.9874,0.70897,0.000289884,0.000289884,0.000289884
8,1605.85,1.01147,0.7738,0.9865,0.67076,0.000219198,0.000219198,0.000219198
9,1813.22,0.97416,0.7823,0.9876,0.65019,0.000148512,0.000148512,0.000148512
10,2009.45,0.94042,0.7832,0.9885,0.63974,7.7826e-05,7.7826e-05,7.7826e-05
